segment;maxX;maxY;minX;minY;num
0.0.csv;384.06081429;88.3624539034;62.379633673;-159.0169277351;100
1.0.csv;141.3623715166;63.194574356;-154.1004764977;-157.873841441;63
1.1.csv;137.37630000000001;60.9364;-154.9005;-168.6719;56
2.0.csv;120.2373942597;313.2360318045;-167.5087485452;-51.5059878256;130
2.1.csv;123.090650059;316.35443421;-171.4741181;-44.4187691099;123
3.0.csv;-64.5816336005;196.1775755368;-167.704652763;27.538667036600003;51
3.1.csv;-86.171006465;193.478359059;-171.613223307;24.535072;42
4.0.csv;147.12147260490002;64.84975820380001;-272.289078;-327.9473545813;138
5.0.csv;-0.6995166982999983;305.3229508858;-107.4947066858;239.18297687799998;33
5.1.csv;-6.849085742700002;310.419875129;-105.4308008514;240.03724599999998;27
6.0.csv;323.935904363;26.07173928548;256.8685848981;-77.0968564325;26
6.1.csv;323.922687464;26.39;263.8879356882;-68.1698635664;22
7.0.csv;32.1450318625;20.8122624483;-45.2625925165;-40.703026882100005;24
